group,page,slug,wp_id,status,implemented,cur_title,cur_meta,rec_title,rec_meta,note
Core,Home,/,25,minor,yes,Pacer AI — GTM Financial Modeling Agent for PE-backed SaaS,"Pacer AI is the GTM Financial Modeling Agent for Sales Leaders and CFOs — build and reconcile your ARR waterfall and revenue model inside Claude, in days.",Pacer AI — The GTM Financial Modeling Agent for CROs,"Pacer AI is the GTM Financial Modeling Agent for CROs and Sales Leaders — build and reconcile your ARR waterfall and revenue model inside Claude, in days.",Lead with CRO; title/meta already updated 2026-07-23
Core,Resources hub,/resources/,230,fix,yes,Resources — Pacer AI | ARR Intelligence & RevOps Insights,"Insights on ARR intelligence, revenue operations, and SaaS growth strategies for PE-backed operators and CFOs.",Resources — GTM Financial Modeling & ARR Guides | Pacer AI,"Guides on GTM financial modeling, ARR waterfalls, and revenue models for CROs and finance leaders — from the team behind the GTM Financial Modeling Agent.",Drop 'ARR Intelligence & RevOps Insights'
Core,Team,/team/,366,fix,yes,Company — Pacer AI,"Learn about Pacer AI — our mission, team, and approach to solving the ARR reporting gap for PE-backed SaaS companies.",Team — Pacer AI | The Operator Behind the Agent,Pacer AI is founder-led by Will Sullivan — a former PwC M&A advisor and West Point graduate. Meet the operator behind the GTM Financial Modeling Agent.,Lead founder credibility
Core,About,/team/about/,374,fix,yes,About — Pacer AI,"Pacer AI was founded to solve the ARR reporting gap for PE-backed SaaS companies. Learn about our mission, values, and the team behind the platform.",About Pacer AI — Built by an M&A Operator,Why Pacer AI exists: a GTM Financial Modeling Agent built by an ex-PwC M&A advisor to give CROs a revenue model that reconciles to Finance.,Drop 'ARR reporting gap / PE-backed SaaS' lead
Core,Contact,/team/contact/,375,fix,yes,Contact — Pacer AI,"Get in touch with Pacer AI. Request a live demo, schedule a call, or reach out about partnerships for PE-backed SaaS revenue intelligence.",Contact Pacer AI — Talk to Will,Book a diagnostic or reach founder Will Sullivan directly about GTM financial modeling — build and reconcile your revenue model inside Claude.,Drop 'revenue intelligence'
Core,Platform / How it works,/platform/overview/,371,fix,yes,Platform Overview — Pacer AI,"Pacer AI platform overview — how we unify CRM, billing, and ERP data into automated ARR snowball reports, waterfall analyses, and board-ready decks.",How It Works — GTM Financial Modeling Agent | Pacer AI,"How Pacer AI turns CRM, billing, and ERP data into a reconciled GTM financial model — ARR waterfalls, snowballs, and board-ready output, inside Claude.",Off-nav; consider folding into homepage #how-it-works
Articles,What Is an ARR Waterfall?,/resources/what-is-an-arr-waterfall/,850,fix,no,"What Is an ARR Waterfall? Definition, Components, and How to Build One - Get Pacer AI",,ARR Waterfall: Definition & How to Build One | Pacer AI,"An ARR waterfall decomposes recurring revenue into new, expansion, contraction, and churn. Components, formula, a worked example, and how to build one.",Add meta; fix brand+length; root dupe 873 redirects here
Articles,What Is cRPO?,/resources/what-is-current-performance-obligation/,865,fix,yes,What is cRPO? The Operator's Guide to Current Remaining Performance Obligations - Get Pacer AI,,What Is cRPO? An Operator's Guide to Current RPO | Pacer AI,"cRPO (current remaining performance obligations) explained for operators — what it is, how it differs from ARR, and why acquirers and boards care.",Add meta; shorten; dupe /crpo-vs-arr redirects here
Articles,Build Data Cube In-House or Hire,/resources/build-customer-data-cube-in-house-or-hire/,491,fix,yes,Should I Build a Customer Data Cube In-House or Hire Someone? - Get Pacer AI,,Build a Customer Data Cube In-House or Hire? | Pacer AI,"Build your customer data cube in-house or hire it out? The real cost, timeline, and maintenance trade-offs — plus the done-for-you alternative.",Add meta; brand
Articles,Board-Quality ARR Snowballs,/resources/board-quality-arr-snowballs/,781,fix,yes,Board Quality ARR Snowballs: Understand Your ARR Growth Drivers Before Your Acquirers Do - Get Pacer AI,,Board-Quality ARR Snowballs: Know Your Drivers | Pacer AI,Build board- and diligence-grade ARR snowballs that reveal your real growth drivers — before your acquirers' QoR does. An M&A operator's approach.,Add meta; big title cut
